# cp [..cp] ; HO ; SVO ; MVO
4E00..9FFF ; U ; U ; U
A000..A48F ; U ; U ; U
A490..A4CF ; U ; U ; U
A4D0..A4FF ; U ; U ; R
A500..A63F ; U ; U ; R
A640..A69F ; U ; U ; R
A6A0..A6FF ; U ; U ; R
A700..A71F ; U ; U ; R
A720..A7FF ; U ; U ; R
A800..A82F ; U ; U ; R
A830..A83F ; U ; U ; R
A840..A87F ; L ; U ; U
A880..A8DF ; U ; U ; R
A8E0..A8FF ; U ; U ; R
A900..A92F ; U ; U ; R
A930..A95F ; U ; U ; R
A960..A97F ; U ; U ; U
A980..A9DF ; U ; U ; R
A9E0..A9FF ; U ; U ; R
AA00..AA5F ; U ; U ; R
AA60..AA7F ; U ; U ; R
AA80..AADF ; U ; U ; R
AAE0..AAFF ; U ; U ; R
AB00..AB2F ; U ; U ; R
AB30..ABBF ; U ; U ; R
ABC0..ABFF ; U ; U ; R
AC00..D7AF ; U ; U ; U
D7B0..D7FF ; U ; U ; U
D800..DFFF ; U ; U ; R
E000..F8FF ; U ; U ; U
F900..FAFF ; U ; U ; U
FB00..FB4F ; U ; U ; R
FB50..FDFF ; U ; U ; R
FE00..FE0F ; U ; U ; R
FE10 ; U ; U ; U
FE11 ; U ; U ; U
FE12 ; U ; U ; U
FE13 ; U ; U ; U
FE14 ; U ; U ; U
FE15 ; U ; U ; U
FE16 ; U ; U ; U
FE17 ; U ; U ; U
FE18 ; U ; U ; U
FE19 ; U ; U ; U
FE1A ; U ; U ; U
FE1B ; U ; U ; U
FE1C ; U ; U ; U
FE1D ; U ; U ; U
FE1E ; U ; U ; U
FE1F ; U ; U ; U
FE20..FE2F ; U ; U ; R
FE30 ; U ; U ; U
FE31 ; U ; U ; U
FE32 ; U ; U ; U
FE33 ; U ; U ; U
FE34 ; U ; U ; U
FE35 ; U ; U ; U
FE36 ; U ; U ; U
FE37 ; U ; U ; U
FE38 ; U ; U ; U
FE39 ; U ; U ; U
FE3A ; U ; U ; U
FE3B ; U ; U ; U
FE3C ; U ; U ; U
FE3D ; U ; U ; U
FE3E ; U ; U ; U
FE3F ; U ; U ; U
FE40 ; U ; U ; U
FE41 ; U ; U ; U
FE42 ; U ; U ; U
FE43 ; U ; U ; U
FE44 ; U ; U ; U
FE45 ; U ; U ; U
FE46 ; U ; U ; U
FE47 ; U ; U ; U
FE48 ; U ; U ; U
FE49 ; U ; U ; R
FE4A ; U ; U ; R
FE4B ; U ; U ; R
FE4C ; U ; U ; R
